	x		sin^2(x)	sin^2'(x) a.	sin^2'(x) par.	sin^2''(x) a.	sin^2''(x) par.
1.000000	0.708073	0.909297		0.905073		-0.832294		-0.832677
1.010000	0.717124	0.900793		0.896388		-0.868497		-0.868440
1.020000	0.726088	0.891929		0.887346		-0.904352		-0.904203
1.030000	0.734962	0.882707		0.877953		-0.939846		-0.939369
1.040000	0.743741	0.873133		0.868195		-0.974964		-0.975728
1.050000	0.752423	0.863209		0.858104		-1.009692		-1.009107
1.060000	0.761004	0.852941		0.847661		-1.044016		-1.044273
1.070000	0.769481	0.842331		0.836885		-1.077923		-1.077652
1.080000	0.777849	0.831384		0.825775		-1.111398		-1.111031
1.090000	0.786107	0.820104		0.814325		-1.144429		-1.145005
1.100000	0.794250	0.808497		0.802559		-1.177002		-1.176596
1.110000	0.802276	0.796566		0.790465		-1.209104		-1.209378
1.120000	0.810181	0.784316		0.778061		-1.240723		-1.240373
1.130000	0.817961	0.771753		0.765342		-1.271845		-1.271963
1.140000	0.825615	0.758881		0.752318		-1.302459		-1.302361
1.150000	0.833138	0.745705		0.738990		-1.332552		-1.332760
1.160000	0.840528	0.732232		0.725371		-1.362111		-1.361966
1.170000	0.847782	0.718465		0.711459		-1.391126		-1.391173
1.180000	0.854896	0.704411		0.697267		-1.419585		-1.419187
1.190000	0.861869	0.690075		0.682795		-1.447475		-1.447201
1.200000	0.868697	0.675463		0.668043		-1.474787		-1.475215
1.210000	0.875377	0.660582		0.653028		-1.501509		-1.501441
1.220000	0.881907	0.645435		0.637752		-1.527630		-1.527667
1.230000	0.888285	0.630031		0.622225		-1.553140		-1.552701
1.240000	0.894507	0.614375		0.606441		-1.578029		-1.578331
1.250000	0.900572	0.598473		0.590426		-1.602287		-1.601577
1.260000	0.906476	0.582331		0.574160		-1.625904		-1.626611
1.270000	0.912217	0.565957		0.557673		-1.648870		-1.648665
1.280000	0.917794	0.549356		0.540966		-1.671177		-1.670718
1.290000	0.923204	0.532535		0.524032		-1.692816		-1.693368
1.300000	0.928444	0.515502		0.506902		-1.713777		-1.713038
1.310000	0.933513	0.498262		0.489557		-1.734053		-1.734495
1.320000	0.938409	0.480823		0.472021		-1.753635		-1.753569
1.330000	0.943129	0.463192		0.454301		-1.772516		-1.772046
1.340000	0.947672	0.445375		0.436389		-1.790688		-1.791120
1.350000	0.952036	0.427380		0.418311		-1.808144		-1.807809
1.360000	0.956219	0.409215		0.400066		-1.824876		-1.824498
1.370000	0.960220	0.390885		0.381655		-1.840879		-1.841188
1.380000	0.964036	0.372400		0.363094		-1.856145		-1.856089
1.390000	0.967667	0.353765		0.344390		-1.870669		-1.870394
1.400000	0.971111	0.334989		0.325543		-1.884444		-1.884699
1.410000	0.974366	0.316079		0.306571		-1.897466		-1.897216
1.420000	0.977432	0.297042		0.287473		-1.909729		-1.909733
1.430000	0.980307	0.277887		0.268263		-1.921228		-1.921058
1.440000	0.982990	0.258620		0.248945		-1.931958		-1.931787
1.450000	0.985479	0.239250		0.229526		-1.941916		-1.941919
1.460000	0.987774	0.219784		0.210011		-1.951097		-1.951456
1.470000	0.989874	0.200231		0.190419		-1.959497		-1.959205
1.480000	0.991779	0.180597		0.170749		-1.967114		-1.966953
1.490000	0.993486	0.160891		0.151014		-1.973944		-1.973510
1.500000	0.994996	0.141121		0.131214		-1.979985		-1.980066
1.510000	0.996308	0.121294		0.111359		-1.985233		-1.985431
1.520000	0.997422	0.101419		0.091463		-1.989688		-1.989603
1.529999	0.998337	0.081503		0.071532		-1.993346		-1.993179
1.539999	0.999052	0.061555		0.051570		-1.996207		-1.996160
1.549999	0.999568	0.041582		0.031585		-1.998270		-1.998544
1.559999	0.999883	0.021592		0.011593		-1.999534		-1.999140
1.569999	0.999999	0.001594		-0.008404		-1.999997		-2.000332
1.579999	0.999915	-0.018405		-0.028402		-1.999661		-1.999736
1.589999	0.999631	-0.038397		-0.048387		-1.998525		-1.998544
1.599999	0.999147	-0.058373		-0.068349		-1.996590		-1.996160
1.609999	0.998464	-0.078326		-0.088292		-1.993856		-1.994372
1.619999	0.997581	-0.098247		-0.108194		-1.990324		-1.990199
1.629999	0.996499	-0.118130		-0.128049		-1.985996		-1.985431
1.639999	0.995219	-0.137965		-0.147861		-1.980874		-1.981259
1.649999	0.993740	-0.157744		-0.167608		-1.974960		-1.974702
1.659999	0.992064	-0.177461		-0.187290		-1.968256		-1.968145
1.669999	0.990191	-0.197107		-0.206894		-1.960764		-1.960397
1.679999	0.988122	-0.216674		-0.226420		-1.952488		-1.952648
1.689999	0.985858	-0.236154		-0.245857		-1.943431		-1.943708
1.699999	0.983399	-0.255540		-0.265193		-1.933597		-1.933575
1.709999	0.980747	-0.274823		-0.284415		-1.922989		-1.922250
1.719999	0.977903	-0.293997		-0.303537		-1.911613		-1.912117
1.729999	0.974868	-0.313053		-0.322527		-1.899471		-1.899004
1.739999	0.971643	-0.331984		-0.341398		-1.886570		-1.887083
1.749999	0.968229	-0.350782		-0.360119		-1.872914		-1.872182
1.759999	0.964627	-0.369440		-0.378710		-1.858510		-1.859069
1.769999	0.960840	-0.387950		-0.397140		-1.843361		-1.842976
1.779999	0.956869	-0.406304		-0.415415		-1.827476		-1.827479
1.789999	0.952715	-0.424497		-0.433522		-1.810859		-1.810789
1.799999	0.948380	-0.442519		-0.451452		-1.793518		-1.792908
1.809999	0.943865	-0.460365		-0.469214		-1.775460		-1.776219
1.819999	0.939173	-0.478026		-0.486773		-1.756691		-1.755953
1.829999	0.934305	-0.495496		-0.504148		-1.737221		-1.737476
1.839999	0.929264	-0.512768		-0.521320		-1.717055		-1.717210
1.849999	0.924050	-0.529835		-0.538278		-1.696202		-1.695752
1.859999	0.918668	-0.546690		-0.555027		-1.674671		-1.674891
1.869999	0.913117	-0.563326		-0.571549		-1.652470		-1.652241
1.879999	0.907402	-0.579737		-0.587851		-1.629608		-1.630187
1.889999	0.901523	-0.595916		-0.603902		-1.606094		-1.605153
1.899999	0.895484	-0.611857		-0.619727		-1.581938		-1.582503
1.909999	0.889287	-0.627552		-0.635296		-1.557148		-1.556873
1.919999	0.882934	-0.642997		-0.650609		-1.531737		-1.531243
1.929999	0.876428	-0.658185		-0.665671		-1.505712		-1.506209
1.939999	0.869771	-0.673110		-0.680459		-1.479085		-1.478791
1.949999	0.862967	-0.687765		-0.694978		-1.451867		-1.451969
1.959999	0.856017	-0.702145		-0.709218		-1.424068		-1.423955
1.969999	0.848925	-0.716244		-0.723171		-1.395699		-1.395345
1.979999	0.841693	-0.730057		-0.736845		-1.366772		-1.367331
1.989999	0.834325	-0.743578		-0.750214		-1.337299		-1.336932
1.999999	0.826823	-0.756801		-0.763285		-1.307290		-1.307130
2.009999	0.819190	-0.769722		-0.776052		-1.276759		-1.276731
2.019999	0.811429	-0.782335		-0.788510		-1.245717		-1.245737
2.029999	0.803544	-0.794635		-0.800651		-1.214176		-1.214147
2.039999	0.795538	-0.806617		-0.812471		-1.182150		-1.181960
2.049999	0.787413	-0.818276		-0.823975		-1.149651		-1.150370
2.059999	0.779173	-0.829608		-0.835133		-1.116692		-1.115799
2.069999	0.770822	-0.840608		-0.845969		-1.083287		-1.083612
2.079999	0.762362	-0.851272		-0.856459		-1.049448		-1.049042
2.089999	0.753797	-0.861596		-0.866616		-1.015190		-1.015663
2.099999	0.745131	-0.871575		-0.876415		-0.980525		-0.979900
2.109999	0.736367	-0.881205		-0.885874		-0.945469		-0.945926
2.119999	0.727508	-0.890483		-0.894976		-0.910034		-0.910163
2.129999	0.718559	-0.899404		-0.903714		-0.874235		-0.873804
2.139999	0.709522	-0.907966		-0.912094		-0.838086		-0.838041
2.149999	0.700401	-0.916165		-0.920111		-0.801602		-0.801683
2.159999	0.691199	-0.923997		-0.927758		-0.764798		-0.764728
2.169999	0.681922	-0.931460		-0.935036		-0.727688		-0.727773
2.179999	0.672572	-0.938550		-0.941938		-0.690286		-0.690222
2.189999	0.663152	-0.945265		-0.948465		-0.652609		-0.652671
2.199999	0.653668	-0.951601		-0.954610		-0.614670		-0.614524
2.209999	0.644121	-0.957557		-0.960374		-0.576486		-0.576377
2.219999	0.634518	-0.963130		-0.965756		-0.538071		-0.538230
2.229999	0.624860	-0.968318		-0.970751		-0.499440		-0.499487
2.239999	0.615153	-0.973118		-0.975353		-0.460610		-0.460148
2.249999	0.605399	-0.977530		-0.979573		-0.421596		-0.422001
2.259999	0.595603	-0.981550		-0.983393		-0.382413		-0.382066
2.269999	0.585769	-0.985177		-0.986826		-0.343078		-0.343323
2.279999	0.575901	-0.988411		-0.989866		-0.303605		-0.303984
2.289999	0.566002	-0.991249		-0.992501		-0.264010		-0.263453
2.299999	0.556077	-0.993691		-0.994742		-0.224310		-0.224113
2.309999	0.546130	-0.995735		-0.996590		-0.184520		-0.184774
2.319999	0.536164	-0.997381		-0.998038		-0.144657		-0.144839
2.329999	0.526184	-0.998628		-0.999087		-0.104735		-0.104904
2.339999	0.516193	-0.999475		-0.999731		-0.064772		-0.064373
2.349999	0.506196	-0.999923		-0.999978		-0.024782		-0.025034
2.359999	0.496196	-0.999971		-0.999826		0.015217		0.014901
2.369999	0.486198	-0.999619		-0.999278		0.055210		0.054836
2.379999	0.476205	-0.998867		-0.998321		0.095181		0.095665
2.389999	0.466222	-0.997715		-0.996974		0.135114		0.134706
2.399999	0.456252	-0.996165		-0.995222		0.174993		0.175238
2.409999	0.446300	-0.994216		-0.993076		0.214802		0.214577
2.419999	0.436369	-0.991869		-0.990528		0.254525		0.254810
2.429999	0.426464	-0.989126		-0.987589		0.294146		0.293851
2.439999	0.416588	-0.985987		-0.984251		0.333649		0.333786
2.449999	0.406745	-0.982453		-0.980520		0.373019		0.373125
2.459999	0.396940	-0.978527		-0.976399		0.412240		0.412166
2.469999	0.387176	-0.974209		-0.971889		0.451296		0.450909
2.479999	0.377457	-0.969501		-0.966984		0.490172		0.490546
2.489999	0.367787	-0.964406		-0.961697		0.528851		0.528693
2.499999	0.358170	-0.958925		-0.956023		0.567319		0.567436
2.509999	0.348610	-0.953061		-0.949970		0.605560		0.605285
2.519999	0.339110	-0.946815		-0.943533		0.643559		0.643730
2.529999	0.329675	-0.940190		-0.936720		0.681300		0.681281
2.539999	0.320308	-0.933190		-0.929531		0.718769		0.718832
2.549999	0.311013	-0.925816		-0.921974		0.755950		0.755787
2.559999	0.301793	-0.918072		-0.914046		0.792829		0.792742
2.569999	0.292652	-0.909960		-0.905752		0.829391		0.829399
2.579998	0.283595	-0.901485		-0.897098		0.865621		0.865460
2.589998	0.274624	-0.892649		-0.888079		0.901505		0.901818
2.599998	0.265743	-0.883456		-0.878713		0.937028		0.936687
2.609998	0.256956	-0.873910		-0.868990		0.972176		0.972152
2.619998	0.248266	-0.864014		-0.858921		1.006936		1.007020
2.629998	0.239677	-0.853772		-0.848508		1.041293		1.041293
2.639998	0.231192	-0.843189		-0.837757		1.075233		1.075119
2.649998	0.222814	-0.832269		-0.826670		1.108743		1.108646
2.659998	0.214547	-0.821016		-0.815251		1.141810		1.141876
2.669998	0.206395	-0.809435		-0.803508		1.174420		1.174361
2.679998	0.198360	-0.797529		-0.791442		1.206561		1.206547
2.689998	0.190445	-0.785305		-0.779061		1.238218		1.238137
2.699998	0.182655	-0.772767		-0.766367		1.269381		1.269430
2.709998	0.174991	-0.759919		-0.753368		1.300035		1.299828
2.719998	0.167457	-0.746768		-0.740066		1.330170		1.330227
2.729998	0.160057	-0.733317		-0.726469		1.359773		1.359731
2.739998	0.152792	-0.719574		-0.712582		1.388832		1.388639
2.749998	0.145666	-0.705543		-0.698408		1.417335		1.417399
2.759998	0.138682	-0.691229		-0.683956		1.445271		1.445264
2.769998	0.131843	-0.676639		-0.669231		1.472629		1.472533
2.779998	0.125150	-0.661779		-0.654238		1.499399		1.499355
2.789998	0.118608	-0.646653		-0.638982		1.525568		1.525581
2.799998	0.112218	-0.631269		-0.623471		1.551127		1.551062
2.809998	0.105983	-0.615633		-0.607711		1.576066		1.576021
2.819998	0.099906	-0.599750		-0.591708		1.600375		1.600310
2.829998	0.093989	-0.583628		-0.575468		1.624043		1.624003
2.839998	0.088235	-0.567271		-0.558998		1.647062		1.647025
